Vocab,WordCount
103977, 188527
104141, 188842
104244, 189055
104332, 189220
104527, 189633
104592, 189748
104698, 189917
104812, 190132
104848, 190199
104885, 190296
104911, 190345
104995, 190514
105024, 190573
105060, 190640
105095, 190707
105169, 190842
105207, 190921
105443, 191392
105575, 191611
105613, 191674
105862, 192191
105903, 192268
105989, 192435
106232, 192876
106276, 192965
106481, 193292
106523, 193379
106592, 193650
107256, 194941
107410, 195250
107491, 195399
107519, 195452
107566, 195549
107926, 196290
107944, 196335
110582, 201562
110756, 201867
111914, 204216
112124, 204659
112227, 204852
112276, 204947
112332, 205044
112441, 205275
112644, 205706
112820, 206063
112892, 206186
113209, 206833
113322, 207024
113706, 207833
113944, 208336
114133, 208713
114377, 209164
114483, 209355
114954, 210298
115359, 211069
115417, 211174
115608, 211539
115719, 211760
115836, 211973
115968, 212196
116108, 212477
116303, 212844
116440, 213093
116562, 213322
116692, 213817
116747, 213912
116830, 214061
117005, 214374
118442, 217391
118530, 217562
119063, 218599
119906, 220244
120043, 220563
120208, 220896
120277, 221173
120693, 222034
120771, 222349
120835, 222488
120875, 222565
121672, 224152
121808, 224647
121832, 224698
122053, 225107
122078, 225156
122391, 225769
122567, 226162
122729, 226539
122913, 226936
122975, 227037
123064, 227190
123119, 227265
123357, 227718
123597, 228193
123644, 228270
123715, 228421
123766, 228524
123833, 228645
123931, 228820
123964, 228949
124034, 229294
124128, 229477
124220, 229668
124271, 229769
126227, 234234
126289, 234351
126347, 234462
126895, 235603
127145, 236184
127263, 236383
127560, 236978
127604, 237069
127621, 237106
127700, 237249
127924, 237690
127982, 237799
128007, 237856
128286, 238409
128367, 238564
128997, 239915
129202, 240322
129275, 240469
129358, 240680
129400, 240781
129905, 241838
129963, 241927
130056, 242118
130417, 242769
130472, 242884
130523, 242977
130697, 243284
130731, 243351
131568, 245070
132016, 245925
132749, 247378
132775, 247437
133461, 248798
133591, 249073
133878, 249684
133898, 249725
133969, 249878
134030, 249969
134142, 250182
134203, 250315
134517, 250914
135134, 252017
135156, 252068
135242, 252253
135302, 252366
135365, 252467
135415, 252578
135548, 252851
135590, 252934
135674, 253101
135800, 253338
135814, 253383
135871, 253500
136059, 253863
136169, 254100
136897, 255573
136938, 255654
136941, 255743
137067, 255972
137677, 257159
138453, 258724
138481, 258781
138486, 258826
138605, 259057
138661, 259174
138880, 259585
139010, 259800
139044, 259873
139315, 260432
139709, 261147
139781, 261284
139836, 261379
139870, 261468
139940, 261811
139968, 261862
140060, 262041
140277, 262510
140323, 262605
140479, 262990
140507, 263037
142897, 267782
142968, 268093
143218, 268584
144019, 270197
144108, 270378
144182, 270517
146033, 273956
146111, 274117
146294, 274406
146400, 274631
146420, 274682
146833, 275453
146976, 275716
147004, 275773
147188, 276174
147336, 276459
148176, 278254
148211, 278331
148692, 279272
148895, 279677
149089, 280044
149147, 280151
149188, 280222
149219, 280275
150181, 282252
150345, 282547
150522, 282902
150595, 283041
150635, 283114
150728, 283261
150821, 283444
151019, 283861
151349, 284454
151515, 284801
151621, 285002
151877, 285495
151949, 285644
152051, 285891
152249, 286232
152312, 286349
152398, 286522
152452, 286631
152558, 286854
152770, 287301
152862, 287470
152919, 287595
153161, 288100
153264, 288357
153352, 288562
153385, 288611
153385, 288650
153789, 289595
154470, 290924
154541, 291049
154702, 291454
154974, 291967
155025, 292064
155138, 292273
155179, 292360
155386, 292745
155755, 293506
155907, 293775
155922, 293810
155978, 293903
156001, 293960
156786, 295775
156848, 295886
156927, 296041
157026, 296238
157165, 296497
157205, 296566
157264, 296673
157637, 297400
157710, 297547
157763, 297662
158121, 298377
158158, 298442
159146, 300301
159664, 301314
159773, 301525
160624, 303084
160678, 303179
160744, 303308
160864, 303559
161254, 304314
161413, 304585
161586, 304910
161661, 305077
161856, 305476
161885, 305545
161966, 305690
162075, 305895
162142, 306020
162678, 307115
162899, 307590
162944, 307699
163046, 307904
163222, 308285
163244, 308328
163269, 308375
163301, 308428
163509, 308877
163600, 309066
163661, 309187
164038, 309924
164185, 310225
164298, 310488
164356, 310599
164688, 311286
164778, 311439
164816, 311524
164843, 311575
165021, 311924
165264, 312399
165311, 312490
165503, 312873
165538, 312948
165678, 313221
165977, 313952
166036, 314093
166075, 314154
166493, 315125
166532, 315202
167014, 316159
167136, 316412
167220, 316581
167320, 316792
167367, 316879
167644, 317460
169451, 321133
170328, 323042
171633, 325983
171691, 326100
171737, 326163
172506, 327632
172667, 327943
172994, 328622
173122, 328893
173169, 328994
173277, 329177
173588, 329788
174207, 331033
175168, 333350
175628, 334241
175803, 334588
176162, 335263
176219, 335366
176252, 335435
176329, 335788
176417, 335967
176482, 336094
177256, 337731
177286, 337804
177612, 338451
177838, 338908
177877, 338973
177949, 339096
178385, 340087
178591, 340514
178946, 341191
179448, 342276
179493, 342393
179493, 342426
179511, 342461
179704, 342910
179910, 343273
180116, 343766
180167, 343855
180208, 343936
180530, 344561
180688, 344906
180862, 345255
180955, 345448
181033, 345627
181060, 345678
181153, 345877
181894, 347366
