Rank,Term,Freq,C
239, center, 238, 0.07382
240, open, 238, 0.07413
241, special, 238, 0.07444
242, 2002, 238, 0.07475
243, size, 237, 0.07474
244, land, 237, 0.07505
245, york, 237, 0.07536
246, half, 236, 0.07534
247, february, 235, 0.07533
248, 23, 235, 0.07563
249, office, 234, 0.07562
250, page, 234, 0.07592
251, style, 234, 0.07622
252, ii, 233, 0.0762
253, water, 233, 0.0765
254, 22, 233, 0.0768
255, come, 233, 0.07711
256, return, 232, 0.07708
257, close, 230, 0.07671
258, case, 228, 0.07634
259, body, 227, 0.0763
260, 27, 226, 0.07626
261, able, 226, 0.07655
262, story, 225, 0.0765
263, party, 225, 0.0768
264, 26, 225, 0.07709
265, appeared, 225, 0.07738
266, political, 223, 0.07698
267, means, 223, 0.07727
268, 40, 223, 0.07756
269, average, 222, 0.0775
270, information, 222, 0.07779
271, record, 221, 0.07772
272, female, 221, 0.07801
273, film, 221, 0.0783
274, 50, 220, 0.07823
275, band, 220, 0.07852
276, new york, 219, 0.07844
277, air, 218, 0.07837
278, law, 217, 0.07829
279, brought, 216, 0.07821
280, version, 215, 0.07813
281, designed, 215, 0.0784
282, game, 214, 0.07832
283, possible, 214, 0.0786
284, leading, 214, 0.07887
285, club, 213, 0.07878
286, future, 213, 0.07906
287, class, 212, 0.07896
288, especially, 211, 0.07886
289, joined, 211, 0.07914
290, areas, 210, 0.07903
291, opened, 209, 0.07893
292, taking, 209, 0.0792
293, st, 208, 0.07909
294, role, 208, 0.07936
295, 28, 208, 0.07963
296, famous, 208, 0.0799
297, events, 207, 0.07979
298, street, 207, 0.08005
299, sold, 206, 0.07993
300, remained, 206, 0.0802
301, site, 205, 0.08008
302, outside, 205, 0.08034
303, army, 204, 0.08022
304, largest, 204, 0.08048
305, million, 204, 0.08075
306, months, 204, 0.08101
307, business, 204, 0.08128
308, recently, 204, 0.08154
309, road, 204, 0.08181
310, followed, 203, 0.08167
311, western, 203, 0.08193
312, parts, 203, 0.0822
313, king, 203, 0.08246
314, provide, 203, 0.08272
315, wife, 202, 0.08258
316, president, 202, 0.08284
317, river, 200, 0.08228
318, black, 200, 0.08254
319, church, 200, 0.0828
320, album, 200, 0.08306
321, successful, 200, 0.08332
322, human, 200, 0.08358
323, love, 199, 0.08342
324, finally, 199, 0.08368
325, world war, 199, 0.08393
326, women, 199, 0.08419
327, america, 199, 0.08445
328, real, 199, 0.08471
329, changed, 198, 0.08454
330, sent, 198, 0.0848
331, features, 198, 0.08505
332, seven, 198, 0.08531
333, official, 197, 0.08514
334, gave, 197, 0.08539
335, contentsthe, 197, 0.08565
336, night, 196, 0.08547
337, england, 196, 0.08572
338, county, 195, 0.08554
339, provided, 194, 0.08535
340, takes, 194, 0.0856
341, television, 193, 0.08541
342, release, 193, 0.08566
343, older, 193, 0.08591
344, playing, 193, 0.08616
345, song, 192, 0.08596
346, remains, 192, 0.08621
347, field, 192, 0.08646
348, students, 192, 0.08671
349, section, 191, 0.08651
350, park, 191, 0.08676
351, military, 190, 0.08655
352, post, 190, 0.08679
353, act, 190, 0.08704
354, 1999, 190, 0.08729
355, success, 190, 0.08753
356, hand, 190, 0.08778
357, featured, 190, 0.08803
358, art, 189, 0.08781
359, force, 189, 0.08806
360, district, 189, 0.0883
361, recent, 188, 0.08808
362, association, 188, 0.08832
363, station, 188, 0.08857
364, low, 188, 0.08881
365, past, 188, 0.08905
366, described, 187, 0.08882
367, citation, 187, 0.08906
368, red, 187, 0.08931
369, strong, 186, 0.08907
370, person, 186, 0.08931
371, directly, 186, 0.08955
372, program, 186, 0.0898
373, range, 186, 0.09004
374, london, 186, 0.09028
375, battle, 186, 0.09052
376, lead, 185, 0.09027
377, private, 184, 0.09002
378, wrote, 184, 0.09026
379, 29, 184, 0.0905
380, director, 183, 0.09025
381, beginning, 183, 0.09048
382, primary, 183, 0.09072
383, light, 183, 0.09096
384, citation needed, 182, 0.0907
385, longer, 182, 0.09093
386, better, 182, 0.09117
387, includes, 182, 0.09141
388, particularly, 182, 0.09164
389, summer, 181, 0.09137
390, numerous, 181, 0.09161
391, going, 181, 0.09184
392, society, 179, 0.09106
393, french, 179, 0.09129
394, character, 179, 0.09153
395, social, 178, 0.09125
396, rest, 178, 0.09148
397, middle, 178, 0.09171
398, department, 177, 0.09142
399, 31, 177, 0.09165
400, involved, 177, 0.09188
401, square, 177, 0.09211
402, subject, 177, 0.09234
403, previously, 176, 0.09205
404, shows, 176, 0.09228
405, process, 176, 0.09251
406, research, 176, 0.09273
407, 1998, 175, 0.09243
408, traditional, 175, 0.09266
409, design, 175, 0.09289
410, entire, 175, 0.09312
411, northern, 175, 0.09334
412, thought, 175, 0.09357
413, services, 175, 0.0938
414, project, 174, 0.09349
415, southern, 174, 0.09371
416, europe, 174, 0.09394
417, recorded, 173, 0.09362
418, previous, 173, 0.09385
419, wide, 173, 0.09407
420, education, 173, 0.0943
421, board, 172, 0.09397
422, referred, 172, 0.0942
423, production, 172, 0.09442
424, complete, 172, 0.09464
425, added, 172, 0.09487
426, husband, 171, 0.09454
427, decided, 171, 0.09476
428, earlier, 171, 0.09498
429, records, 171, 0.0952
430, independent, 170, 0.09487
431, limited, 169, 0.09453
432, mother, 169, 0.09475
433, action, 169, 0.09497
434, families, 169, 0.09519
435, division, 169, 0.09541
436, 1996, 169, 0.09562
437, certain, 168, 0.09528
438, groups, 168, 0.0955
439, miles, 168, 0.09571
440, allowed, 168, 0.09593
441, region, 168, 0.09615
442, self, 168, 0.09637
443, league, 167, 0.09601
444, mainly, 167, 0.09623
445, actually, 167, 0.09644
446, village, 167, 0.09666
447, court, 167, 0.09688
448, list, 167, 0.09709
449, saw, 166, 0.09673
450, significant, 166, 0.09694
451, radio, 166, 0.09716
452, start, 166, 0.09737
453, introduced, 166, 0.09759
454, german, 166, 0.09781
